ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
ERR1940687,ERX2001220,PAIRED,-,Illumina HiSeq 2500,SAMEA4525266,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940688,ERX2001221,PAIRED,-,Illumina HiSeq 2500,SAMEA4525267,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940689,ERX2001222,PAIRED,-,Illumina HiSeq 2500,SAMEA4525268,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940690,ERX2001223,PAIRED,-,Illumina HiSeq 2500,SAMEA4525269,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940691,ERX2001224,PAIRED,-,Illumina HiSeq 2500,SAMEA4525270,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940692,ERX2001225,PAIRED,-,Illumina HiSeq 2500,SAMEA4525271,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940693,ERX2001226,PAIRED,-,Illumina HiSeq 2500,SAMEA4525272,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940694,ERX2001227,PAIRED,-,Illumina HiSeq 2500,SAMEA4525273,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940695,ERX2001228,PAIRED,-,Illumina HiSeq 2500,SAMEA4525274,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940696,ERX2001229,PAIRED,-,Illumina HiSeq 2500,SAMEA4525275,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940697,ERX2001230,PAIRED,-,Illumina HiSeq 2500,SAMEA4525276,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940698,ERX2001231,PAIRED,-,Illumina HiSeq 2500,SAMEA4525277,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940699,ERX2001232,PAIRED,-,Illumina HiSeq 2500,SAMEA4525278,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940700,ERX2001233,PAIRED,-,Illumina HiSeq 2500,SAMEA4525279,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940701,ERX2001234,PAIRED,-,Illumina HiSeq 2500,SAMEA4525280,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940702,ERX2001235,PAIRED,-,Illumina HiSeq 2500,SAMEA4525281,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940703,ERX2001236,PAIRED,-,Illumina HiSeq 2500,SAMEA4525282,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940704,ERX2001237,PAIRED,-,Illumina HiSeq 2500,SAMEA4525283,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940705,ERX2001238,PAIRED,-,Illumina HiSeq 2500,SAMEA4525284,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1940706,ERX2001239,PAIRED,-,Illumina HiSeq 2500,SAMEA4525285,316401,GCA_000210475.1,Escherichia coli ETEC H10407,Complete Genome
ERR1952210,ERX2017806,PAIRED,-,Illumina Genome Analyzer II,SAMEA1988052,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952211,ERX2017807,PAIRED,-,Illumina Genome Analyzer II,SAMEA1988052,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952212,ERX2017808,PAIRED,-,Illumina HiSeq 2000,SAMEA1986522,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952213,ERX2017809,PAIRED,-,Illumina HiSeq 2000,SAMEA1986523,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952214,ERX2017810,PAIRED,-,Illumina HiSeq 2000,SAMEA1986260,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952215,ERX2017811,PAIRED,-,Illumina HiSeq 2000,SAMEA1986524,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952216,ERX2017812,PAIRED,-,Illumina HiSeq 2000,SAMEA1986525,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952217,ERX2017813,PAIRED,-,Illumina HiSeq 2000,SAMEA1986261,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952218,ERX2017814,PAIRED,-,Illumina HiSeq 2000,SAMEA1986526,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952219,ERX2017815,PAIRED,-,Illumina HiSeq 2000,SAMEA1986527,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952220,ERX2017816,PAIRED,-,Illumina HiSeq 2000,SAMEA2034705,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952221,ERX2017817,PAIRED,-,Illumina HiSeq 2000,SAMEA1986003,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952222,ERX2017818,PAIRED,-,Illumina HiSeq 2000,SAMEA1964724,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952223,ERX2017819,PAIRED,-,Illumina HiSeq 2000,SAMEA1985670,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952224,ERX2017820,PAIRED,-,Illumina HiSeq 2000,SAMEA1986001,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952225,ERX2017821,PAIRED,-,Illumina HiSeq 2000,SAMEA2034956,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR1952226,ERX2017822,PAIRED,-,Illumina HiSeq 2000,SAMEA1985667,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR2004664,ERX2064429,PAIRED,-,Illumina HiSeq 2500,SAMEA104121092,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004665,ERX2064430,PAIRED,-,Illumina HiSeq 2500,SAMEA104121093,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004666,ERX2064431,PAIRED,-,Illumina HiSeq 2500,SAMEA104121094,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004667,ERX2064432,PAIRED,-,Illumina HiSeq 2500,SAMEA104121095,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004668,ERX2064433,PAIRED,-,Illumina HiSeq 2500,SAMEA104121096,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004669,ERX2064434,PAIRED,-,Illumina HiSeq 2500,SAMEA104121097,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004670,ERX2064435,PAIRED,-,Illumina HiSeq 2500,SAMEA104121098,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004671,ERX2064436,PAIRED,-,Illumina HiSeq 2500,SAMEA104121099,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004672,ERX2064437,PAIRED,-,Illumina HiSeq 2500,SAMEA104121100,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004673,ERX2064438,PAIRED,-,Illumina HiSeq 2500,SAMEA104121101,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004674,ERX2064439,PAIRED,-,Illumina HiSeq 2500,SAMEA104121102,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004675,ERX2064440,PAIRED,-,Illumina HiSeq 2500,SAMEA104121103,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004676,ERX2064441,PAIRED,-,Illumina HiSeq 2500,SAMEA104121104,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004677,ERX2064442,PAIRED,-,Illumina HiSeq 2500,SAMEA104121105,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004678,ERX2064443,PAIRED,-,Illumina HiSeq 2500,SAMEA104121106,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004679,ERX2064444,PAIRED,-,Illumina HiSeq 2500,SAMEA104121107,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004680,ERX2064445,PAIRED,-,Illumina HiSeq 2500,SAMEA104121108,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004681,ERX2064446,PAIRED,-,Illumina HiSeq 2500,SAMEA104121109,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004682,ERX2064447,PAIRED,-,Illumina HiSeq 2500,SAMEA104121110,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004683,ERX2064448,PAIRED,-,Illumina HiSeq 2500,SAMEA104121111,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004684,ERX2064449,PAIRED,-,Illumina HiSeq 2500,SAMEA104121112,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004685,ERX2064450,PAIRED,-,Illumina HiSeq 2500,SAMEA104121113,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004686,ERX2064451,PAIRED,-,Illumina HiSeq 2500,SAMEA104121114,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004687,ERX2064452,PAIRED,-,Illumina HiSeq 2500,SAMEA104121115,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004688,ERX2064453,PAIRED,-,Illumina HiSeq 2500,SAMEA104121092,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004689,ERX2064454,PAIRED,-,Illumina HiSeq 2500,SAMEA104121093,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004690,ERX2064455,PAIRED,-,Illumina HiSeq 2500,SAMEA104121094,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004691,ERX2064456,PAIRED,-,Illumina HiSeq 2500,SAMEA104121095,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004692,ERX2064457,PAIRED,-,Illumina HiSeq 2500,SAMEA104121096,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004693,ERX2064458,PAIRED,-,Illumina HiSeq 2500,SAMEA104121097,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004694,ERX2064459,PAIRED,-,Illumina HiSeq 2500,SAMEA104121098,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004695,ERX2064460,PAIRED,-,Illumina HiSeq 2500,SAMEA104121099,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004696,ERX2064461,PAIRED,-,Illumina HiSeq 2500,SAMEA104121100,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004697,ERX2064462,PAIRED,-,Illumina HiSeq 2500,SAMEA104121101,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004698,ERX2064463,PAIRED,-,Illumina HiSeq 2500,SAMEA104121102,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004699,ERX2064464,PAIRED,-,Illumina HiSeq 2500,SAMEA104121103,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004700,ERX2064465,PAIRED,-,Illumina HiSeq 2500,SAMEA104121104,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004701,ERX2064466,PAIRED,-,Illumina HiSeq 2500,SAMEA104121105,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004702,ERX2064467,PAIRED,-,Illumina HiSeq 2500,SAMEA104121106,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004703,ERX2064468,PAIRED,-,Illumina HiSeq 2500,SAMEA104121107,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004704,ERX2064469,PAIRED,-,Illumina HiSeq 2500,SAMEA104121108,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004705,ERX2064470,PAIRED,-,Illumina HiSeq 2500,SAMEA104121109,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004706,ERX2064471,PAIRED,-,Illumina HiSeq 2500,SAMEA104121110,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004707,ERX2064472,PAIRED,-,Illumina HiSeq 2500,SAMEA104121111,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004708,ERX2064473,PAIRED,-,Illumina HiSeq 2500,SAMEA104121112,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004709,ERX2064474,PAIRED,-,Illumina HiSeq 2500,SAMEA104121113,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004710,ERX2064475,PAIRED,-,Illumina HiSeq 2500,SAMEA104121114,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2004711,ERX2064476,PAIRED,-,Illumina HiSeq 2500,SAMEA104121115,197,GCA_002587225.1,Campylobacter jejuni,Complete Genome
ERR2020347,ERX2079594,PAIRED,200,Illumina HiSeq 4000,SAMEA104144440,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2020348,ERX2079595,PAIRED,200,Illumina HiSeq 4000,SAMEA104144441,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2020349,ERX2079596,PAIRED,200,Illumina HiSeq 4000,SAMEA104144442,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2020350,ERX2079597,PAIRED,200,Illumina HiSeq 4000,SAMEA104144443,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2020351,ERX2079598,PAIRED,200,Illumina HiSeq 4000,SAMEA104144444,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2020352,ERX2079599,PAIRED,200,Illumina HiSeq 4000,SAMEA104144445,216597,GCA_000210855.2,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Complete Genome
ERR2028435,ERX2087574,SINGLE,-,Illumina HiSeq 2500,SAMEA104155573,76761,GCA_002028325.1,Pseudomonas veronii,Complete Genome
ERR2028436,ERX2087575,SINGLE,-,Illumina HiSeq 2500,SAMEA104155573,76761,GCA_002028325.1,Pseudomonas veronii,Complete Genome
ERR2028437,ERX2087576,SINGLE,-,Illumina HiSeq 2500,SAMEA104155573,76761,GCA_002028325.1,Pseudomonas veronii,Complete Genome
ERR2073920,ERX2133027,SINGLE,-,Illumina HiSeq 3000,SAMEA104198487,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073921,ERX2133028,SINGLE,-,Illumina HiSeq 3000,SAMEA104198488,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073922,ERX2133029,SINGLE,-,Illumina HiSeq 3000,SAMEA104198489,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073923,ERX2133030,SINGLE,-,Illumina HiSeq 3000,SAMEA104198490,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073924,ERX2133031,SINGLE,-,Illumina HiSeq 3000,SAMEA104198491,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073925,ERX2133032,SINGLE,-,Illumina HiSeq 3000,SAMEA104198492,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073926,ERX2133033,SINGLE,-,Illumina HiSeq 3000,SAMEA104198493,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2073927,ERX2133034,SINGLE,-,Illumina HiSeq 3000,SAMEA104198494,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2095502,ERX2152885,PAIRED,68,NextSeq 500,SAMEA104212318,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
ERR2095503,ERX2152886,PAIRED,68,NextSeq 500,SAMEA104212319,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
ERR2095504,ERX2152887,PAIRED,68,NextSeq 500,SAMEA104212320,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
ERR2095505,ERX2152888,PAIRED,68,NextSeq 500,SAMEA104212321,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
SRR019711,SRX006977,SINGLE,-,Illumina Genome Analyzer II,SAMN00004903,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR019712,SRX006977,SINGLE,-,Illumina Genome Analyzer II,SAMN00004903,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR019713,SRX006977,SINGLE,-,Illumina Genome Analyzer II,SAMN00004903,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR019714,SRX006977,SINGLE,-,Illumina Genome Analyzer II,SAMN00004903,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR019715,SRX006977,SINGLE,-,Illumina Genome Analyzer II,SAMN00004903,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR019716,SRX006978,SINGLE,-,Illumina Genome Analyzer II,SAMN00004905,2104,GCA_002355715.1,Mycoplasma pneumoniae,Complete Genome
SRR038714,SRX018274,SINGLE,-,Illumina Genome Analyzer II,SAMN00010641,671143,GCA_000091165.1,Candidatus Methylomirabilis oxyfera,Complete Genome
SRR578141,SRX110171,SINGLE,50,Illumina HiSeq 2000,SAMN00014193,203119,GCA_000015865.1,Ruminiclostridium thermocellum ATCC 27405,Complete Genome
SRR578142,SRX189772,SINGLE,50,Illumina HiSeq 2000,SAMN00014193,203119,GCA_000015865.1,Ruminiclostridium thermocellum ATCC 27405,Complete Genome
SRR057747,SRX022143,SINGLE,-,Illumina Genome Analyzer II,SAMN00015192,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR057748,SRX022144,SINGLE,-,Illumina Genome Analyzer II,SAMN00015193,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR057749,SRX022145,SINGLE,-,Illumina Genome Analyzer II,SAMN00015194,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR057750,SRX022146,SINGLE,-,Illumina Genome Analyzer II,SAMN00015195,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR057751,SRX022147,SINGLE,-,Illumina Genome Analyzer II,SAMN00015196,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR066805,SRX027368,PAIRED,70,Illumina Genome Analyzer II,SAMN00113712,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
SRR066806,SRX027369,PAIRED,70,Illumina Genome Analyzer II,SAMN00113713,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
SRR071140,SRX030057,SINGLE,-,454 GS,SAMN00117191,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071141,SRX030057,SINGLE,-,454 GS,SAMN00117191,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071142,SRX030057,SINGLE,-,454 GS,SAMN00117191,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071143,SRX030057,SINGLE,-,454 GS,SAMN00117191,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071144,SRX030058,SINGLE,-,454 GS,SAMN00117192,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071145,SRX030059,SINGLE,-,454 GS,SAMN00117193,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071146,SRX030060,SINGLE,-,454 GS,SAMN00117194,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071147,SRX030060,SINGLE,-,454 GS,SAMN00117194,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071148,SRX030060,SINGLE,-,454 GS,SAMN00117194,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071149,SRX030060,SINGLE,-,454 GS,SAMN00117194,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071150,SRX030061,SINGLE,-,454 GS,SAMN00117195,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071151,SRX030062,SINGLE,-,454 GS,SAMN00117196,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071152,SRX030062,SINGLE,-,454 GS,SAMN00117196,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071153,SRX030062,SINGLE,-,454 GS,SAMN00117196,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071154,SRX030062,SINGLE,-,454 GS,SAMN00117196,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071155,SRX030063,SINGLE,-,454 GS,SAMN00117197,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071156,SRX030064,SINGLE,-,454 GS,SAMN00117198,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071157,SRX030064,SINGLE,-,454 GS,SAMN00117198,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071158,SRX030064,SINGLE,-,454 GS,SAMN00117198,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR071159,SRX030064,SINGLE,-,454 GS,SAMN00117198,115713,GCA_000008745.1,Chlamydophila pneumoniae CWL029,Complete Genome
SRR097642,SRX030112,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097643,SRX030114,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097644,SRX030115,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097645,SRX030116,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097646,SRX030116,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097647,SRX030116,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097648,SRX030117,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097649,SRX030118,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097650,SRX030119,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097651,SRX030120,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR097656,SRX040435,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR094982,SRX039128,SINGLE,39,Illumina Genome Analyzer II,SAMN00198540,103690,GCA_000009705.1,Nostoc sp. PCC 7120,Complete Genome
SRR094983,SRX039129,SINGLE,99,Illumina Genome Analyzer II,SAMN00198541,103690,GCA_000009705.1,Nostoc sp. PCC 7120,Complete Genome
SRR094984,SRX039130,SINGLE,39,Illumina Genome Analyzer II,SAMN00198542,103690,GCA_000009705.1,Nostoc sp. PCC 7120,Complete Genome
SRR094985,SRX039131,SINGLE,39,Illumina Genome Analyzer II,SAMN00198543,103690,GCA_000009705.1,Nostoc sp. PCC 7120,Complete Genome
SRR100286,SRX042345,PAIRED,102,Illumina Genome Analyzer II,SAMN00210998,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR100287,SRX042346,PAIRED,102,Illumina Genome Analyzer II,SAMN00210999,573,GCA_002848605.1,Klebsiella pneumoniae,Complete Genome
SRR228083,SRX067383,SINGLE,36,Illumina Genome Analyzer,SAMN00618964,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
SRR228085,SRX067384,SINGLE,36,Illumina Genome Analyzer,SAMN00618964,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
SRR228086,SRX067385,SINGLE,36,Illumina Genome Analyzer,SAMN00622056,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
SRR228087,SRX067386,SINGLE,36,Illumina Genome Analyzer,SAMN00622056,511145,GCA_002843685.1,Escherichia coli str. K-12 substr. MG1655,Complete Genome
SRR208051,SRX063252,SINGLE,32,Illumina Genome Analyzer II,SAMN00618967,1140,GCA_000012525.1,Synechococcus elongatus PCC 7942,Complete Genome
SRR208052,SRX063253,SINGLE,42,Illumina Genome Analyzer II,SAMN00618968,1140,GCA_000012525.1,Synechococcus elongatus PCC 7942,Complete Genome
SRR208053,SRX063254,SINGLE,42,Illumina Genome Analyzer II,SAMN00618969,1140,GCA_000012525.1,Synechococcus elongatus PCC 7942,Complete Genome
SRR222179,SRX066256,SINGLE,40,Illumina Genome Analyzer II,SAMN00621738,882,GCA_000195755.1,Desulfovibrio vulgaris str. Hildenborough,Complete Genome
SRR222180,SRX066257,SINGLE,40,Illumina Genome Analyzer II,SAMN00621739,882,GCA_000195755.1,Desulfovibrio vulgaris str. Hildenborough,Complete Genome
SRR308187,SRX080704,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308188,SRX080705,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308189,SRX080707,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308190,SRX080708,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308191,SRX080709,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308192,SRX080710,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308193,SRX080711,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR308194,SRX080712,SINGLE,-,AB SOLiD System 3.0,SAMN00117206,32049,GCA_000019485.1,Synechococcus sp. PCC 7002,Complete Genome
SRR307053,SRX082172,SINGLE,50,Illumina Genome Analyzer II,SAMN00632335,242619,GCA_000007585.1,Porphyromonas gingivalis W83,Complete Genome
SRR307054,SRX082173,SINGLE,50,Illumina Genome Analyzer II,SAMN00632336,242619,GCA_000007585.1,Porphyromonas gingivalis W83,Complete Genome
SRR307055,SRX082174,SINGLE,38,Illumina Genome Analyzer II,SAMN00632337,242619,GCA_000007585.1,Porphyromonas gingivalis W83,Complete Genome
